source_id,source_name,source_owner,domain_or_agency,source_type,lane,data_available,format_available,date_range,update_frequency,access_method,contains_narratives,contains_outcomes,contains_dollar_loss,contains_remedies,contains_pii_risk,terms_or_reuse_notes,trust_tier,corpus_value_score_1_to_10,recommended_use,limitations,primary_source_confirmed_yes_no,citation_or_reference
SRC-FIN-011,CFA CFPB Enforcement Legacy Report,Consumer Federation of America,consumerfed.org,report,consumer_financial,"Analysis of 2021-2025 enforcement, $6.2B redress, $3.2B penalties, 84 actions",pdf,2021-2025,one-time,download,no,yes,yes,no,no,Publicly available advocacy report; data sourced from CFPB records,2,8,ledger_ready,Advocacy perspective but data-backed from primary sources,yes,https://consumerfed.org/the-cfpbs-2021-2025-enforcement-legacy/
SRC-FIN-012,ProtectBorrowers.org CFPB Fact Sheets,NCLC/Advocacy,protectborrowers.org,advisory,consumer_financial,"State-by-state complaint statistics, increases, relief rates",pdf,2024-2025,periodic,download,no,yes,yes,no,no,Advocacy publication; publicly available,2,7,context,Advocacy framing; verify against primary CFPB data,yes,https://protectborrowers.org
SRC-FIN-013,GAO CFPB Financial Audit FY2025,GAO,gao.gov,report,consumer_financial,"$175.7M civil penalties collected, $26.4M disgorged, fiduciary activities",pdf,FY2025,annual,download,no,yes,yes,no,no,Public domain; federal audit report,1,8,ledger_ready,Independent audit verification of CFPB financials,yes,https://www.gao.gov/assets/gao-26-108248.pdf
SRC-FIN-014,NCLC CFPB Fact Sheet,NCLC,nclc.org,advisory,consumer_financial,"$21B+ relief, 205M+ eligible, $363M servicemember relief, 6.8M+ complaints sent",pdf,2024,one-time,download,no,yes,yes,no,no,Advocacy publication; publicly available,2,7,context,Advocacy compilation; cross-reference with primary CFPB data,yes,https://www.nclc.org
SRC-FIN-015,Morgan Lewis State AG Financial Enforcement Analysis,Morgan Lewis,morganlewis.com,advisory,consumer_financial,"State AG focus areas: elder abuse, AI, EWA, BNPL, rent-to-own",html,2024-2025,periodic,url,no,no,no,no,no,Publicly available legal analysis,2,7,context,Legal analysis perspective; good for trend tracking,yes,https://www.morganlewis.com/pubs/2025/05/state-attorneys-general-step-up-consumer-financial-services-enforcement
SRC-FIN-016,Apify CFPB Complaints Scraper,Apify,apify.com,api,consumer_financial,"JSON/CSV/Excel export, field documentation, search by company/product/state/date",api|json|csv,2011-present,daily,api,yes,yes,yes,no,yes,Third-party API wrapper; wraps official CFPB API; check ToS,3,6,discovery,Third-party wrapper; wraps official CFPB API; verify data freshness,no,https://apify.com/compute-edge/cfpb-complaints-scraper
SRC-FIN-017,JD Supra CFPB Enforcement Tracking,JD Supra,jdsupra.com,news,consumer_financial,Quarterly tracking of enforcement actions by category,html,2020-present,quarterly,url,no,yes,yes,no,no,Legal publisher; publicly available,2,7,context,Legal news aggregation; good for trend tracking,yes,https://www.jdsupra.com
SRC-FIN-018,FTC National Do Not Call Registry Data Book FY2025,FTC,ftc.gov,report,consumer_financial,"DNC complaints, robocall data, state-by-state registration statistics",pdf,2003-2025,annual,download,no,yes,yes,no,no,Public domain; federal report,1,6,context,Telemarketing-related financial harm data,yes,https://www.ftc.gov
SRC-FIN-019,FTC Protecting Older Adults Report 2024-2025,FTC,ftc.gov,report,consumer_financial,"Fraud targeting older adults, aggregate losses $10.1B-$81.5B estimated",pdf,2020-2024,annual,download,no,yes,yes,no,no,Public domain; federal government report,1,8,ledger_ready,Detailed elder financial exploitation data,yes,https://www.ftc.gov/system/files/ftc_gov/pdf/P144400-OlderAdultsReportDec2025.pdf
SRC-FRA-001,FBI IC3 2025 Internet Crime Report,FBI IC3,fbi.gov,report,fraud_digital,"1,008,597 complaints; $20.877B losses; 26% increase; BEC $3.046B; ransomware $32.32M; investment fraud $8.649B; crypto $11.3B; AI section",pdf|csv,2025,annual,download,no,yes,yes,yes,no,Public domain; federal government report,1,10,ledger_ready,Most comprehensive cybercrime dataset; annual only,yes,https://www.fbi.gov/file-repository/2025_ic3report.pdf
SRC-FRA-002,FBI IC3 2024 Internet Crime Report,FBI IC3,fbi.gov,report,fraud_digital,"859,532 complaints; $16.6B losses; 333,981 cyber-enabled fraud complaints; BEC 21,442 complaints",pdf|csv,2024,annual,download,no,yes,yes,yes,no,Public domain; federal government report,1,10,ledger_ready,Baseline comparison year for trend analysis,yes,https://www.fbi.gov/news/press-releases/fbi-releases-annual-internet-crime-report
SRC-FRA-003,FBI Press Release Crypto and AI Scams,FBI,fbi.gov,report,fraud_digital,"IC3 summary: $20.877B losses; crypto 181,565 complaints $11B+; AI 22,364 complaints ~$893M; Operation Level Up 8,000+ victims",html|pdf,2025-2026,annual,download,no,yes,yes,yes,no,Public domain; federal government press release,1,10,ledger_ready,Companion to IC3 report with operational highlights,yes,https://www.fbi.gov/news/press-releases/cryptocurrency-and-ai-scams-bilk-americans-of-billions
SRC-FRA-004,FTC Consumer Sentinel Network Data Book 2024,FTC,ftc.gov,report,fraud_digital,$12.5B+ fraud losses; 2.6M fraud reports; 1.1M identity theft reports; investment scams $5.7B; imposter scams $2.95B,pdf|csv,2024,annual,download,no,yes,yes,no,no,Public domain; federal government report,1,10,ledger_ready,Comprehensive annual dataset; partial overlap with FIN lane,yes,https://www.ftc.gov/exploredata
SRC-FRA-005,SEC Enforcement Results FY2025,SEC,sec.gov,report,fraud_digital,Cyber and Emerging Technologies Unit launched Feb 2025; Unicoin charges; PGI Global $198M fraud; Nate AI $42M+ fraud,pdf|html,FY2025,annual,download,no,yes,yes,yes,no,Public domain; federal enforcement report,1,9,ledger_ready,Crypto/investment fraud enforcement data,yes,https://www.sec.gov/newsroom/press-releases/2026-34
SRC-FRA-006,SEC Cryptocurrency Enforcement 2025 Update,Cornerstone Research,cornerstone.com,report,fraud_digital,"33 crypto actions in 2024, 13 in 2025 (-60%); $142M penalties 2025; enforcement shift under new administration",html|pdf,2013-2025,annual,download,no,yes,yes,no,no,Publicly available research report; third-party analysis of SEC data,2,8,context,Analysis of SEC data; good for enforcement trend tracking,yes,https://www.cornerstone.com/insights/research/sec-cryptocurrency-enforcement-2025-update/
SRC-FRA-007,FTC Annual Report Protecting Older Adults 2024-2025,FTC,ftc.gov,report,fraud_digital,"Elder losses $2.4B (2024), 4x from 2020; $81.5B estimated true cost; Restoro $25.5M refunds; Aqua Finance $20M refunds",pdf,2020-2024,annual,download,no,yes,yes,yes,no,Public domain; federal government report,1,9,ledger_ready,Comprehensive elder fraud data with enforcement outcomes,yes,https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-issues-annual-report
SRC-FRA-008,AARP FBI Report Analysis 2025,AARP,aarp.org,report,fraud_digital,60+ losses $7.7B (+60%); investment scams $8.6B; crypto fraud $11.3B; tech support $2.1B; romance $929M,html,2025,annual,url,no,yes,yes,no,no,Publicly available; advocacy organization analysis,2,9,context,Advocacy analysis; good for consumer-facing narratives,yes,https://www.aarp.org/money/scams-fraud/fbi-ftc-report-2025-losses/
SRC-FRA-009,CFTC Virtual Currency Enforcement Trends,JD Supra/Cornerstone,jdsupra.com,report,fraud_digital,"130 total actions Q1 2015-Q3 2025; 10 actions in 2024, 0 in 2025 (Q1-Q3); BTC in 98 actions, ETH in 25",html,2015-2025,quarterly,url,no,yes,yes,no,no,Publicly available legal analysis,2,7,context,CFTC crypto enforcement trends; regulatory intelligence,yes,https://www.jdsupra.com/legalnews/key-trends-in-cftc-virtual-currency-2636711/
SRC-FRA-010,McDonald Hopkins IC3 2025 Analysis,McDonald Hopkins,mcdonaldhopkins.com,advisory,fraud_digital,$20.877B (+26%); BEC $3.046B; AI-nexus BEC $30M+; ransomware $32.32M (+259%); 63 new ransomware variants,html,2025,annual,url,no,yes,yes,no,no,Publicly available legal analysis,2,8,context,Law firm analysis of IC3 data; good for legal perspective,yes,https://www.mcdonaldhopkins.com/insights/news/the-sobering-truth-of-the-fbis-2025-internet-crime-complaint-center-report
SRC-FRA-011,TitanHQ State of Email Security 2025,TitanHQ,titanhq.com,report,fraud_digital,BEC trends; $50M construction loss; $426K spoofed attorney; $4.9M real estate recovery; employee breach statistics,html|pdf,2024-2025,annual,download,no,yes,yes,no,no,Publicly available industry report,2,8,context,Email security and BEC trend analysis,yes,https://www.titanhq.com/email-security-2025/state-email-security-report-2025/
SRC-FRA-012,LevelBlue BEC Trends 2025,LevelBlue/AT&T,levelblue.com,report,fraud_digital,"BEC emails +15% in 2025; 3,000+ intercepted/month; peak 4,300 July; contact details swapping tactics",html,2025,annual,url,no,yes,no,no,no,Publicly available industry report,2,7,context,BEC threat intelligence from AT&T security arm,yes,https://www.levelblue.com/blogs/spiderlabs-blog/bec-email-trends-attacks-up-15-in-2025/
SRC-FRA-013,Deepfake Statistics and Trends 2026,Keepnet Labs,keepnetlabs.com,report,fraud_digital,"Gen AI fraud $12.3B (2023) to $40B (2027); avg $500K per incident; deepfake losses $1.1B US 2025 (3x); vishing +1,600%",html,2023-2026,annual,url,no,yes,yes,no,no,Publicly available industry research,2,7,context,Comprehensive deepfake fraud statistics,yes,https://keepnetlabs.com/blog/deepfake-statistics-and-trends
SRC-FRA-014,Synthetic Identity Fraud Statistics 2026,BIIA,biia.com,report,fraud_digital,$30-35B annual US losses; $3.3B lender exposure; 80%+ of new account fraud; projected $23B by 2030,html,2023-2026,annual,url,no,yes,yes,no,no,Publicly available industry research,2,7,context,Synthetic identity fraud landscape overview,yes,https://www.biia.com/synthetic-identity-fraud-statistics-2026/
SRC-FRA-015,Romance Scam Statistics 2025-2026,Arnaques-Rencontres,arnaques-rencontres.fr,report,fraud_digital,"FTC $1.2B; IC3 $672M; pig butchering $3.9B; 60,000+ reports; crypto 34% payments; social media 40% contact",html,2024-2025,annual,url,no,yes,yes,no,no,Publicly available research,2,7,context,Comprehensive romance scam statistics including pig butchering,yes,https://www.arnaques-rencontres.fr/en/articles/romance-scam-statistics
SRC-FRA-016,KELA Ransomware Report 2025,KELA,codekeeper.co,report,fraud_digital,"4,701 ransomware incidents Jan-Sep 2025 (+34%); 2,332 critical infrastructure (50%); manufacturing +61%",html,2025,annual,url,no,yes,yes,no,no,Publicly available threat intelligence report,2,8,context,Ransomware threat intelligence with sector breakdowns,yes,https://codekeeper.co/ticker/ransomware-attacks-on-critical-infrastructure-2025
SRC-FRA-017,FTC Social Media Scam Losses,FTC,ftc.gov,report,fraud_digital,$1.1B investment scams on social media; shopping scams most reported; 60% romance scams started on social media,html,2025,annual,url,no,yes,yes,no,no,Public domain; federal government report,1,9,ledger_ready,Social media as fraud distribution channel data,yes,https://www.ftc.gov/news-events/news/press-releases/2026/04/new-ftc-data-show-people-have-lost-billions-to-social-media-scams
SRC-FRA-018,Cifas Fraudscape UK 2025,Cifas,cifas.org.uk,report,fraud_digital,"217,000 cases H1 2025; 118,000 identity fraud; insurance +25%; telco takeovers 69%; people selling own identities",html|pdf,2025,semi-annual,download,no,yes,yes,no,no,Publicly available; UK fraud prevention service data,2,7,context,UK fraud data; useful for international comparison,yes,https://www.cifas.org.uk/newsroom/fraudscape-2025-6monthupdate
SRC-FRA-019,TransUnion Identity Fraud Trends,TransUnion,events.afcea.org,report,fraud_digital,"1.6B records exposed 2024; 2,400+ breaches; gov fraud rate 6.7% (+31%); SSN mismatch 6%; $3.3B lender exposure",pdf,2024-2025,annual,download,no,yes,yes,no,no,Publicly available industry report; vendor-sponsored data,2,7,context,Industry perspective on identity fraud trends,yes,https://events.afcea.org/fedid25/CUSTOM/pdf/transunion_tl.pdf
SRC-FRA-020,Sumsub Identity Fraud Trends 2026,Sumsub,sumsub.com,report,fraud_digital,Sophisticated fraud 10% to 28% (+180%); overall fraud stable 2.0% to 2.2%; 311% synthetic ID doc fraud surge,html,2024-2025,annual,url,no,yes,no,no,no,Publicly available industry report; vendor-sponsored,2,7,context,Identity verification vendor data; useful for sophistication trends,yes,https://sumsub.com/blog/top-new-identity-fraud-trends/
SRC-FRA-021,DeepStrike Ransomware Statistics 2026,DeepStrike,deepstrike.io,report,fraud_digital,"7,500 victims on leak sites (+58%); $820M blockchain payments; 28% payment rate; median $59.6K; 77% double extortion",html,2024-2025,annual,url,no,yes,yes,no,no,Publicly available threat intelligence,2,7,context,Ransomware payment and victim statistics,yes,https://deepstrike.io/blog/ransomware-statistics-2025
SRC-FRA-022,Nacha BEC Analysis 2024,Nacha,nacha.org,report,fraud_digital,BEC losses: almost $8.5B lost over last three years; payment system fraud trends,html,2022-2024,annual,url,no,yes,yes,no,no,Publicly available; payment industry association,2,7,context,ACH/payment system BEC data,yes,https://nacha.org/news/fbis-ic3-finds-almost-85-billion-lost-business-email-compromise-last-three-years
SRC-FRA-023,Identity Theft Statistics 2025,Motley Fool,fool.com,report,fraud_digital,"1,157,317 cases Q1-Q3 2025; 2024: 1,135,291; Javelin $23B losses 2023; record pace for 2025",html,2020-2025,annual,url,no,yes,yes,no,no,Publicly available financial publisher analysis,2,7,context,Consumer-facing identity theft statistics,yes,https://www.fool.com/money/research/identity-theft-credit-card-fraud-statistics/
SRC-FRA-024,Elder Fraud Statistics 2026,Discreet Investigations,discreetinvestigations.ca,report,fraud_digital,"$4.8B (2024 IC3); $2.4B (2024 FTC); avg $83K loss; DOJ 300 actions, 700 defendants, $700M",html,2020-2025,annual,url,no,yes,yes,no,no,Publicly available research compilation,2,7,context,Elder fraud compilation from multiple sources,yes,https://discreetinvestigations.ca/research/elder-fraud-statistics/
SRC-FRA-025,Account Takeover Statistics 2025,AuthX,authx.com,report,fraud_digital,$12.5B identity fraud losses; $17B global ATO projected; $5M avg corporate breach; $2.9B ATO losses; fastest-growing fraud,html,2024-2025,annual,url,no,yes,yes,no,no,Publicly available industry report; vendor-sponsored,2,7,context,ATO fraud trends and statistics,yes,https://authx.com/blog/account-takeover-fraud-statistics-insights/
SRC-FRA-026,Barclays Romance Scam Bulletin,Barclays,home.barclays,report,fraud_digital,"Romance scams up 20% YoY Q1 2025; average loss GBP 8,000; 61+ lost average GBP 19,000; men 60% of reports",html,2025,quarterly,url,no,yes,yes,no,no,Publicly available bank research,2,7,context,UK bank perspective on romance scam trends,yes,https://home.barclays/news/press-releases/2025/04/barclays-scams-bulletin
SRC-CYB-001,CISA KEV Catalog,CISA,cisa.gov,database,cyber_ai,"1,484 vulnerabilities cataloged; 245 added in 2025; 304 linked to ransomware; 20% catalog growth",json|api|csv,2021-present,weekly,api,no,no,no,yes,no,Public domain; federal government; free API,1,10,ledger_ready,Critical vulnerability intelligence with remediation deadlines,yes,https://www.cisa.gov/known-exploited-vulnerabilities-catalog
SRC-CYB-002,CISA Secure by Design Pledge,CISA,cisa.gov,standard,cyber_ai,"68 companies pledged; multi-factor auth, default password reduction, vulnerability reduction goals",html,2024,ongoing,url,no,no,no,no,no,Public domain; federal initiative,1,7,context,Software security standards initiative,yes,https://www.cisa.gov/securebydesign
SRC-CYB-003,MITRE ATT&CK Framework,MITRE,attack.mitre.org,database,cyber_ai,257 adversaries tracked; 26 newly named in 2024; expanded cloud/identity/LOTL techniques,json|api|stix,2013-present,quarterly,api,no,no,no,no,no,Public domain; MITRE operates under federal contract; freely available,1,10,ledger_ready,Globally accessible knowledge base of adversary tactics,yes,https://attack.mitre.org
SRC-CYB-004,IBM Cost of Data Breach Report 2025,IBM,ibm.com,report,cyber_ai,Global avg breach cost $4.44M; US avg $10.22M; healthcare $7.42M; shadow AI +$670K; 97% AI breaches lack access controls,pdf|html,2024-2025,annual,download,no,yes,yes,no,no,Publicly available; vendor-sponsored research; large sample (604 orgs),1,9,ledger_ready,Breach cost benchmark data; vendor-sponsored but methodologically rigorous,yes,https://www.ibm.com/security/data-breach
SRC-CYB-005,HHS OCR Breach Portal,HHS,hhs.gov,database,cyber_ai,"7,419 large breaches since 2009; 935M+ individuals affected; 742 breaches in 2024; 289M+ affected",json|api|csv,2009-present,daily,api,no,yes,yes,no,yes,Public domain; federal requirement (HIPAA); searchable by entity/state/date,1,10,ledger_ready,Healthcare breach data; PII risk from covered entity names,yes,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf
SRC-CYB-006,NHS England Synnovis Incident Report,NHS England,england.nhs.uk,report,cyber_ai,"11,000+ appointments delayed; 800+ operations cancelled; blood shortages; at least 1 confirmed death; 6-month recovery",html|pdf,2024,ongoing,url,no,yes,no,no,yes,Public domain; UK government healthcare data,1,9,ledger_ready,Critical infrastructure ransomware impact documentation,yes,https://www.england.nhs.uk
SRC-CYB-007,AHA Change Healthcare Report,American Hospital Association,aha.org,report,cyber_ai,192.7M individuals affected; 74% hospitals reported patient care impact; 94% financial impact; 33% lost >half revenue,html|pdf,2024,one-time,download,no,yes,yes,no,no,Publicly available; industry association report,1,9,ledger_ready,Largest healthcare breach in history; sector-wide impact data,yes,https://www.aha.org
SRC-CYB-008,NIST AI RMF Agentic Profile,CSA/NIST,cloudsecurityalliance.org,standard,cyber_ai,Four-tier autonomy classification; governance requirements for agentic AI; runtime behavioral telemetry requirements,pdf|html,2026,ongoing,download,no,no,no,no,no,Public domain; federal standards framework,1,10,ledger_ready,Foundational framework for AI agent governance; May 2026 publication,yes,https://labs.cloudsecurityalliance.org
SRC-CYB-009,OWASP Top 10 for LLMs 2025,OWASP,owasp.org,standard,cyber_ai,Prompt injection #1 risk; system prompt leakage #7; vector/embedding weaknesses #8; 10 comprehensive controls,html|pdf,2025,annual,download,no,no,no,no,no,Open source standard; freely available,1,10,ledger_ready,Industry-standard LLM security risk framework,yes,https://trydeepteam.com
SRC-CYB-010,arXiv AI Agent Vulnerability Research,arXiv,arxiv.org,report,cyber_ai,Attack success rates 0.5% (Claude Opus 4.5) to 8.5% (Gemini 2.5 Pro); universal attacks succeeded across 21/41 behaviors,pdf,2026,ongoing,download,no,no,no,no,no,Open access academic preprint,1,10,ledger_ready,Peer-reviewed AI agent security vulnerability research; arXiv:2603.15714,yes,https://arxiv.org/abs/2603.15714
SRC-CYB-011,MIT AI Agent Index 2025,MIT,aiagentindex.mit.edu,database,cyber_ai,Agentic AI capabilities assessment; L4-L5 autonomy deployments; safety evaluation gaps,html|json,2025,annual,api,no,no,no,no,no,Open access; academic research,1,9,context,Academic index of AI agent capabilities and risks,yes,https://aiagentindex.mit.edu
SRC-CYB-012,International AI Safety Report 2026,International AI Safety,cybersecurityasia.net,report,cyber_ai,"""Fully autonomous end-to-end attacks have not been reported. However, research suggests this is a 'when, not if' scenario""",pdf,2026,annual,download,no,no,no,no,no,Publicly available international report,1,8,context,Global AI safety assessment; authoritative multi-country perspective,yes,https://www.cybersecurityasia.net
SRC-CYB-013,CrowdStrike Global Threat Report 2025,CrowdStrike,crowdstrike.com,report,cyber_ai,257 adversaries; 150% China-nexus increase; 266% cloud-conscious intrusions; 442% vishing increase; malware-free attacks 79%,pdf|html,2024,annual,download,no,yes,no,no,no,Publicly available; vendor-sponsored threat intelligence,2,8,context,Leading threat intelligence vendor annual report,yes,https://www.crowdstrike.com/global-threat-report
SRC-CYB-014,Coveware Ransomware Reports,Coveware,coveware.com,report,cyber_ai,Payment refusal rate 64%; total ransom payments $813.55M in 2024; re-attack rate 80%; data recovery failure 96%,html|pdf,2019-2025,quarterly,download,no,yes,yes,no,no,Publicly available; vendor-sponsored but widely cited,2,8,ledger_ready,Quarterly ransomware payment and outcome statistics,yes,https://www.coveware.com
SRC-CYB-015,Chainalysis Ransomware Payments,Chainalysis,chainalysis.com,report,cyber_ai,Blockchain analysis of ransomware payments; payment trends; cryptocurrency tracing,html|pdf,2020-2025,annual,download,no,yes,yes,no,no,Publicly available; vendor-sponsored blockchain analytics,2,8,ledger_ready,Cryptocurrency-based ransomware payment data,yes,https://www.chainalysis.com
SRC-CYB-016,Verizon DBIR 2025,Verizon,verizon.com,report,cyber_ai,"30,000+ incidents analyzed; breach patterns by industry; attack vectors; incident classification",pdf|html,2024,annual,download,no,yes,no,no,no,Publicly available; industry gold standard,2,9,context,Annual breach industry benchmark; large sample size,yes,https://www.verizon.com/business/resources/reports/dbir/
SRC-CYB-017,Sophos State of Ransomware 2025,Sophos,sophos.com,report,cyber_ai,Ransomware trends; payment rates; recovery outcomes; sector analysis,pdf|html,2024-2025,annual,download,no,yes,yes,no,no,Publicly available; vendor-sponsored research,2,8,context,Annual ransomware survey; sector-level breakdowns,yes,https://www.sophos.com/state-of-ransomware
SRC-CYB-018,Cyble KEV Analysis,Cyble,thecyberexpress.com,report,cyber_ai,CISA KEV catalog analysis; 20% growth in 2025; oldest vulnerability CVE-2007-0671 added; CWE breakdowns,html,2025,ongoing,url,no,no,no,no,no,Publicly available threat intelligence analysis,2,7,context,Third-party analysis of CISA KEV data,yes,https://thecyberexpress.com
SRC-CYB-019,MazeHQ Vulnerability Report,MazeHQ,mazehq.com,report,cyber_ai,"Vulnerability statistics; ~50,000 CVEs in 2025; 22% increase; 300,000 cumulative; negative-one-day avg exploitation",html|pdf,2025,annual,url,no,no,no,no,no,Publicly available research,2,7,context,CVE publication and exploitation timeline analysis,yes,https://www.mazehq.com
SRC-CYB-020,Intruder.io Top Vulnerabilities,Intruder,intruder.io,report,cyber_ai,"Top RCE vulnerabilities of 2025; React2Shell, ToolShell, Oracle EBS zero-day analysis",html,2025,annual,url,no,no,no,no,no,Publicly available security research,2,7,context,Technical vulnerability analysis and weaponization data,yes,https://www.intruder.io
SRC-CYB-021,Guardz Data Breaches 2025,Guardz,guardz.com,report,cyber_ai,4.4M TransUnion records exposed; Yale New Haven 5.5M; Farmers 1.1M policyholders; breach notifications,html,2025,ongoing,url,no,yes,no,no,yes,Publicly available; vendor-sponsored breach tracking,2,8,context,Data breach compilation and analysis; PII risk from victim details,yes,https://www.guardz.com
SRC-CYB-022,PKWare Data Breaches 2025,PKWare,pkware.com,report,cyber_ai,Healthcare and enterprise breach tracking; Marks & Spencer £300M profit loss; third-party vendor risk,html,2025,ongoing,url,no,yes,yes,no,no,Publicly available; vendor-sponsored analysis,2,7,context,Enterprise breach impact analysis,yes,https://www.pkware.com
SRC-CYB-023,Faxsipit Healthcare Statistics,Faxsipit,faxsipit.com,report,cyber_ai,Healthcare breach statistics; cumulative since 2009; 935M+ individuals affected,html,2009-2025,annual,url,no,yes,no,no,no,Publicly available healthcare compliance data,2,7,context,Healthcare breach statistics aggregation,yes,https://www.faxsipit.com
SRC-CYB-024,SentinelOne Jailbreak Guide,SentinelOne,sentinelone.com,report,cyber_ai,LLM jailbreaking techniques; many-shot jailbreaking; attack success rates,html|pdf,2025,ongoing,url,no,no,no,no,no,Publicly available security research; vendor-sponsored,2,7,context,LLM jailbreak research and defense guidance,yes,https://www.sentinelone.com
SRC-CYB-025,Checkpoint OWASP LLM Poisoning,Checkpoint,checkpoint.com,report,cyber_ai,LLM data poisoning analysis; Hugging Face 100 poisoned models; MCP tool backdoors,html|pdf,2025,ongoing,url,no,no,no,no,no,Publicly available security research; vendor-sponsored,2,7,context,AI supply chain poisoning threats and detection,yes,https://www.checkpoint.com
SRC-CYB-026,Palo Alto Unit 42 Ivanti Brief,Palo Alto Networks,unit42.paloaltonetworks.com,report,cyber_ai,CVE-2025-0282 Ivanti Connect Secure analysis; zero-day exploitation; Silk Typhoon attribution,html|pdf,2025,ongoing,url,no,no,no,no,no,Publicly available threat intelligence; vendor-sponsored,2,7,context,Nation-state exploitation of VPN appliance vulnerabilities,yes,https://unit42.paloaltonetworks.com
SRC-CYB-027,BlackBerry Salt Typhoon Analysis,BlackBerry,blackberry.com,report,cyber_ai,Salt Typhoon telecom espionage; 8+ US telecoms breached; GhostSpider/Masol RAT; 20+ countries affected,html|pdf,2024-2025,ongoing,url,no,no,no,no,no,Publicly available threat intelligence; vendor-sponsored,2,8,context,Nation-state APT telecom breach analysis,yes,https://www.blackberry.com
