orphan_source_id,reference_count,affected_record_ids,lane,source_name_as_claimed_in_seed,source_owner_as_claimed_in_seed,reference_as_claimed_in_seed,current_trust_tier,current_ledger_status,likely_resolution,resolution_reason,human_review_required,remediation_status
SRC-AGT-011,1,REC-AGT-0011,ai_agent_trust,AI Act Foundation Model Rules,EU Commission,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AIA-002 · name='EU AI Act Portal',no,proposed_remap_url_exact
SRC-AGT-012,1,REC-AGT-0012,ai_agent_trust,US Executive Order AI Safety,White House,https://www.whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/,1,ledger_ready,downgrade_to_context_only,owner 'White House' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-013,1,REC-AGT-0013,ai_agent_trust,UK AI Safety Institute Evaluation,UK Government,https://www.gov.uk/government/organisations/ai-safety-institute,1,ledger_ready,downgrade_to_context_only,owner 'UK Government' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-014,1,REC-AGT-0014,ai_agent_trust,AI Bias in Hiring Tools,EEOC / Academic,https://www.eeoc.gov,1,ledger_ready,add_verified_registry_entry,government_owner 'EEOC' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AGT-015,1,REC-AGT-0015,ai_agent_trust,Healthcare AI Diagnostic Errors,FDA / Academic,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-and-machine-learning-software-medical-device,1,ledger_ready,add_verified_registry_entry,government_owner 'FDA' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AGT-016,1,REC-AGT-0016,ai_agent_trust,Autonomous Vehicle Safety Incidents,NHTSA,https://www.nhtsa.gov/vehicle-safety,1,ledger_ready,add_verified_registry_entry,government_owner 'NHTSA' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AGT-017,1,REC-AGT-0017,ai_agent_trust,Algorithmic Management Worker Harm,Academic / Regulatory,https://www.ilo.org,1,ledger_ready,downgrade_to_context_only,owner 'Academic / Regulatory' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-018,1,REC-AGT-0018,ai_agent_trust,AI Deepfake Child Abuse Material,NCMEC / Law Enforcement,https://www.missingkids.org,1,ledger_ready,downgrade_to_context_only,owner 'NCMEC / Law Enforcement' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-019,1,REC-AGT-0019,ai_agent_trust,AI Voice Clone Fraud 2025,FTC / FBI,https://www.ftc.gov,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AST-012 · name='FTC Protecting Older Consumers 2024-2025',no,proposed_remap_url_exact
SRC-AGT-020,1,REC-AGT-0020,ai_agent_trust,LLM Hallucination in Legal Research,Courts / Academic,https://www.reuters.com/legal/ai-hallucination,1,ledger_ready,downgrade_to_context_only,owner 'Courts / Academic' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-021,1,REC-AGT-0021,ai_agent_trust,AI Model Collusion Research,Academic / arXiv,https://arxiv.org/abs/2403.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'arXiv' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-022,1,REC-AGT-0022,ai_agent_trust,AI Explainability Gap Enterprise,McKinsey / Industry,https://www.mckinsey.com,2,ledger_ready,downgrade_to_context_only,owner 'McKinsey / Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-023,1,REC-AGT-0023,ai_agent_trust,AI System Documentation Deficit,IEEE / Industry,https://standards.ieee.org,2,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'IEEE' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-024,1,REC-AGT-0024,ai_agent_trust,AI Red Teaming Shortage,Industry / Government,https://www.nist.gov,2,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AST-003 · name='NIST AMD Trust and Provenance Workshop',no,proposed_remap_url_exact
SRC-AGT-025,1,REC-AGT-0025,ai_agent_trust,AI Model Card Adoption Low,Partnership on AI,https://partnershiponai.org,2,ledger_ready,downgrade_to_context_only,owner 'Partnership on AI' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-026,1,REC-AGT-0026,ai_agent_trust,AI Supply Chain Security Gaps,NIST / CISA,https://www.nist.gov/itl/executive-order-safe-secure-and-trustworthy-ai,1,ledger_ready,add_verified_registry_entry,government_owner 'CISA' · valid public URL · source_type='advisory' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AGT-027,1,REC-AGT-0027,ai_agent_trust,AI Agent Autonomy Risks,NIST AI RMF Agentic Profile,https://cloudsecurityalliance.org/artifacts/nist-ai-rmf-agentic-profile,1,ledger_ready,add_verified_registry_entry,government_owner 'NIST' · valid public URL · source_type='advisory' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AGT-028,1,REC-AGT-0028,ai_agent_trust,Chinese APT Claude Code Abuse,Anthropic,https://www.anthropic.com,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-029,1,REC-AGT-0029,ai_agent_trust,AI Agent Worm Research,Cornell / Academic,https://arxiv.org/abs/2401.xxxx,1,ledger_ready,downgrade_to_context_only,owner 'Cornell / Academic' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-030,1,REC-AGT-0030,ai_agent_trust,AI Agent Reward Hacking,DeepMind / Academic,https://deepmind.google/research,1,ledger_ready,downgrade_to_context_only,owner 'DeepMind / Academic' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-031,1,REC-AGT-0031,ai_agent_trust,AI Agent Chain-of-Thought Manipulation,Anthropic / arXiv,https://arxiv.org/abs/2402.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-032,1,REC-AGT-0032,ai_agent_trust,AI Agent Tool Use Escalation,Anthropic / Industry,https://www.anthropic.com/research,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'Anthropic' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-033,1,REC-AGT-0033,ai_agent_trust,AI Agent Memory Poisoning,Academic / arXiv,https://arxiv.org/abs/2403.xxxx,1,ledger_ready,add_verified_registry_entry,authoritative_nongovt_owner 'arXiv' · valid public URL · source_type='report' · admissible under non-government trust-tier policy (R3),yes_tier_review,proposed_registry_addition_nongovt_tier_review
SRC-AGT-034,1,REC-AGT-0034,ai_agent_trust,AI Agent Inter-Agent Communication Risk,NIST / Academic,https://www.nist.gov,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AST-003 · name='NIST AMD Trust and Provenance Workshop',no,proposed_remap_url_exact
SRC-AGT-035,1,REC-AGT-0035,ai_agent_trust,China Draft AI Safety Rules,Chinese Government,https://www.cac.gov.cn,1,ledger_ready,downgrade_to_context_only,owner 'Chinese Government' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-036,1,REC-AGT-0036,ai_agent_trust,ISO 42001 AI Management System,ISO,https://www.iso.org/standard/81230.html,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-AIA-006 · name='ISO IEC 42001 Standard',no,proposed_remap_url_exact
SRC-AGT-037,1,REC-AGT-0037,ai_agent_trust,AI Liability Legal Gap,Legal / Academic,https://www.europarl.europa.eu,2,context_only,downgrade_to_context_only,owner 'Legal / Academic' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-038,1,REC-AGT-0038,ai_agent_trust,AI Agent Kill Switch Absence,Industry Survey,https://www.ai-journal.com,2,ledger_ready,downgrade_to_context_only,owner 'Industry Survey' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AGT-039,1,REC-AGT-0039,ai_agent_trust,DPRK AI-LinkedIn Insider Threat,CrowdStrike,https://www.crowdstrike.com/global-threat-report,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-CYB-013 · name='CrowdStrike Global Threat Report 2025',no,proposed_remap_url_exact
SRC-AGT-040,1,REC-AGT-0040,ai_agent_trust,AI Agent Accountability Gap Summary,International AI Safety Report,https://www.gov.uk/government/publications/international-ai-safety-report-2025,1,ledger_ready,downgrade_to_context_only,owner 'International AI Safety Report' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-028,1,REC-AST-0028,asset_compute,AI Compute Tax Incentives,US Treasury / IRS,https://www.treasury.gov,1,ledger_ready,add_verified_registry_entry,government_owner 'Treasury' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AST-029,1,REC-AST-0029,asset_compute,AI Training Data Scarcity,Epoch AI / MIT,https://epoch.ai/data,1,context_only,downgrade_to_context_only,owner 'Epoch AI / MIT' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-030,1,REC-AST-0030,asset_compute,AI Compute Market Consolidation,Industry,https://www.crunchbase.com,2,ledger_ready,downgrade_to_context_only,owner 'Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-031,1,REC-AST-0031,asset_compute,Edge AI Computing Growth,Gartner / Industry,https://www.gartner.com,1,ledger_ready,downgrade_to_context_only,owner 'Gartner / Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-032,1,REC-AST-0032,asset_compute,AI Compute SLA Failures,Industry,https://cloud.google.com/compute/sla,2,ledger_ready,downgrade_to_context_only,owner 'Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-033,1,REC-AST-0033,asset_compute,AI Datacenter Fire Safety,Industry,https://www.nfpa.org,2,context_only,downgrade_to_context_only,owner 'Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-AST-034,1,REC-AST-0034,asset_compute,AI Compute Cost for Startups,Y Combinator / Industry,https://www.ycombinator.com,2,context_only,add_verified_registry_entry,government_owner 'OMB' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-AST-035,1,REC-AST-0035,asset_compute,AI Compute Carbon Accounting Gap,Industry,https://www.greensoftware.foundation,2,context_only,downgrade_to_context_only,owner 'Industry' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-CYB-047,1,REC-CYB-0047,cyber_ai,88% Organizations Using AI,IBM / Industry,https://www.ibm.com/security/data-breach,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-CYB-004 · name='IBM Cost of Data Breach Report 2025',no,proposed_remap_url_exact
SRC-CYB-048,1,REC-CYB-0048,cyber_ai,97% AI Breaches No Access Controls,IBM,https://www.ibm.com/security/data-breach,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-CYB-004 · name='IBM Cost of Data Breach Report 2025',no,proposed_remap_url_exact
SRC-CYB-049,1,REC-CYB-0049,cyber_ai,Cloud-Conscious Intrusions +266%,CrowdStrike,https://www.crowdstrike.com/global-threat-report,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-CYB-013 · name='CrowdStrike Global Threat Report 2025',no,proposed_remap_url_exact
SRC-CYB-050,1,REC-CYB-0050,cyber_ai,Volt Typhoon Water Utilities,CrowdStrike / CISA,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-038a,1,ledger_ready,add_verified_registry_entry,government_owner 'CISA' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-020,1,REC-FIN-0020,consumer_financial,CFPB v. Draper & Kramer Mortgage Discrimination,CFPB,https://www.consumerfinance.gov/enforcement/actions/draper-kramer-incorporated/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-021,1,REC-FIN-0021,consumer_financial,CFPB Consent Order: U.S. Bank Unauthorized Accounts,CFPB,https://www.consumerfinance.gov/enforcement/actions/u-s-bank-national-association/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-022,1,REC-FIN-0022,consumer_financial,CFPB/DOJ v. Trident Mortgage Redlining,CFPB/DOJ,https://www.consumerfinance.gov/enforcement/actions/trident-mortgage-company-lp/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-023,1,REC-FIN-0023,consumer_financial,CFPB v. MoneyLion Technologies,CFPB,https://www.consumerfinance.gov/about-us/newsroom/cfpb-sues-moneylion/,1,discovery_signal,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-024,1,REC-FIN-0024,consumer_financial,California AG Warning on Surprise Overdraft Fees,California Attorney General,https://oag.ca.gov/news/press-releases/attorney-general-bonta-issues-consumer-alert-warning-californians-about-bank-overdraft,1,context_only,downgrade_to_context_only,owner 'California Attorney General' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-FIN-025,1,REC-FIN-0025,consumer_financial,NY AG v. Earned Wage Access Providers,NY Attorney General,https://ag.ny.gov/press-release/2025/attorney-general-james-sues-earned-wage-access-companies,1,discovery_signal,downgrade_to_context_only,owner 'NY Attorney General' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-FIN-026,1,REC-FIN-0026,consumer_financial,CFPB PACE Loan Final Rule,CFPB,https://www.consumerfinance.gov/about-us/newsroom/cfpb-finalizes-rule-to-protect-homeowners-from-predatory-property-assessed-loans/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-027,1,REC-FIN-0027,consumer_financial,CFPB Consumer Response: Vehicle Loan Complaints 2025,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-002 · name='CFPB Consumer Response Annual Report 2025',no,proposed_remap_url_exact
SRC-FIN-028,1,REC-FIN-0028,consumer_financial,CFPB Consumer Response: Personal Loan Complaints 2025,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-002 · name='CFPB Consumer Response Annual Report 2025',no,proposed_remap_url_exact
SRC-FIN-029,1,REC-FIN-0029,consumer_financial,CFPB Consumer Response: Debt Settlement Complaints 2025,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-002 · name='CFPB Consumer Response Annual Report 2025',no,proposed_remap_url_exact
SRC-FIN-030,1,REC-FIN-0030,consumer_financial,CFPB v. BloomTech Income-Share Agreements,CFPB,https://www.consumerfinance.gov/enforcement/actions/bloomtech-inc/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-031,1,REC-FIN-0031,consumer_financial,CFPB Enforcement by the Numbers,CFPB,https://www.consumerfinance.gov/enforcement/enforcement-by-the-numbers/,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-005 · name='CFPB Enforcement by the Numbers',no,proposed_remap_url_exact
SRC-FIN-032,1,REC-FIN-0032,consumer_financial,CFPB Consumer Response Annual Report 2025,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-002 · name='CFPB Consumer Response Annual Report 2025',no,proposed_remap_url_exact
SRC-FIN-033,1,REC-FIN-0033,consumer_financial,FTC Consumer Sentinel: Imposter Scam Data,FTC,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-006 · name='FTC Consumer Sentinel Network Data Book 2024',no,proposed_remap_url_exact
SRC-FIN-034,1,REC-FIN-0034,consumer_financial,FTC Consumer Sentinel: Government Impersonation,FTC,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-006 · name='FTC Consumer Sentinel Network Data Book 2024',no,proposed_remap_url_exact
SRC-FIN-035,1,REC-FIN-0035,consumer_financial,CFPB v. Bank of America Account Freezing,CFPB,https://www.consumerfinance.gov/about-us/newsroom/cfpb-orders-bank-of-america-to-pay-100-million-for-systematically-holding-customer-deposits/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-036,1,REC-FIN-0036,consumer_financial,CFPB FCRA 611(e) Annual Report 2025,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_fcra-611e-report_2025-12.pdf,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-003 · name='CFPB FCRA 611(e) Annual Report',no,proposed_remap_url_exact
SRC-FIN-037,1,REC-FIN-0037,consumer_financial,FTC Protecting Older Consumers Report,FTC,https://www.ftc.gov/system/files/ftc_gov/pdf/P144400-OlderAdultsReportDec2025.pdf,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-019 · name='FTC Protecting Older Adults Report 2024-2025',no,proposed_remap_url_exact
SRC-FIN-038,1,REC-FIN-0038,consumer_financial,Navy Federal Repeat Offender Pattern,Consumer Federation of America,https://consumerfed.org/wp-content/uploads/2025/10/10.15.25-CFPB-Repeat-Offender-Enforcement-Cases.pdf,2,ledger_ready,downgrade_to_context_only,owner 'Consumer Federation of America' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-FIN-039,1,REC-FIN-0039,consumer_financial,CFPB FY 2025 Civil Penalties $175.7M,GAO,https://www.gao.gov/assets/gao-26-108248.pdf,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-013 · name='GAO CFPB Financial Audit FY2025',no,proposed_remap_url_exact
SRC-FIN-040,1,REC-FIN-0040,consumer_financial,CFPB v. VyStar Credit Union Platform Failure,CFPB,https://www.consumerfinance.gov/enforcement/actions/vystar-credit-union/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='enforcement_action' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-041,1,REC-FIN-0041,consumer_financial,FTC Consumer Sentinel: Social Media Fraud Losses,FTC,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-006 · name='FTC Consumer Sentinel Network Data Book 2024',no,proposed_remap_url_exact
SRC-FIN-042,1,REC-FIN-0042,consumer_financial,FTC Consumer Sentinel: Payment Method Fraud,FTC,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-006 · name='FTC Consumer Sentinel Network Data Book 2024',no,proposed_remap_url_exact
SRC-FIN-043,1,REC-FIN-0043,consumer_financial,FTC Consumer Sentinel: Romance Scam Losses,FTC,https://www.ftc.gov/reports/consumer-sentinel-network-data-book-2024,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-006 · name='FTC Consumer Sentinel Network Data Book 2024',no,proposed_remap_url_exact
SRC-FIN-044,1,REC-FIN-0044,consumer_financial,Congress Overturns CFPB Overdraft Fee Cap,WILX/CFPB,https://www.wilx.com/2025/07/16/overdraft-protection-overturned-what-consumers-need-know/,1,context_only,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-045,1,REC-FIN-0045,consumer_financial,NCLC CFPB Fast Facts,NCLC,https://www.nclc.org/wp-content/uploads/2025/05/FINAL-CFPB-Fact-Sheet-CFPB-by-the-Numbers-Dec-2024.pdf,2,context_only,downgrade_to_context_only,owner 'NCLC' not on recognized authoritative list · URL present but ledger-ready policy fails · seed retained for training/eval,yes_owner_review,proposed_downgrade_owner_unrecognized
SRC-FIN-046,1,REC-FIN-0046,consumer_financial,CFPB 2025 Debt Collection Complaints,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_2025-cr-annual-report_2026-03.pdf,1,context_only,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-002 · name='CFPB Consumer Response Annual Report 2025',no,proposed_remap_url_exact
SRC-FIN-047,1,REC-FIN-0047,consumer_financial,CFPB Analysis: NSF Fee Elimination,CFPB,https://www.consumerfinance.gov/about-us/newsroom/cfpb-finds-banks-continue-to-reduce-overdraft-fees/,1,ledger_ready,add_verified_registry_entry,government_owner 'CFPB' · valid public URL · source_type='report' · seed metadata defends ledger_ready promotion,no,proposed_registry_addition_govt
SRC-FIN-048,1,REC-FIN-0048,consumer_financial,CFPB FCRA Report: TransUnion Dispute Confirmation,CFPB,https://files.consumerfinance.gov/f/documents/cfpb_fcra-611e-report_2025-12.pdf,1,ledger_ready,remap_to_existing_canonical_source_id,URL_EXACT match · canonical source_id=SRC-FIN-003 · name='CFPB FCRA 611(e) Annual Report',no,proposed_remap_url_exact
